numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion
1;user_ids;abierto;10000;0.000890193
2;user_ids;abierto;10000;0.000964077
3;user_ids;abierto;10000;0.00107978
4;user_ids;abierto;10000;0.000953035
5;user_ids;abierto;10000;0.000924152
6;user_ids;abierto;10000;0.000856344
7;user_ids;abierto;10000;0.000771082
8;user_ids;abierto;10000;0.00082477
9;user_ids;abierto;10000;0.000946009
10;user_ids;abierto;10000;0.000964196
11;user_ids;abierto;10000;0.000916612
12;user_ids;abierto;10000;0.000782085
13;user_ids;abierto;10000;0.000919253
14;user_ids;abierto;10000;0.000777186
15;user_ids;abierto;10000;0.000945752
16;user_ids;abierto;10000;0.000770012
17;user_ids;abierto;10000;0.000924696
18;user_ids;abierto;10000;0.000953885
19;user_ids;abierto;10000;0.000925874
20;user_ids;abierto;10000;0.000907212
1;user_screen_names;abierto;10000;0.000915939
2;user_screen_names;abierto;10000;0.00105006
3;user_screen_names;abierto;10000;0.00101923
4;user_screen_names;abierto;10000;0.00104134
5;user_screen_names;abierto;10000;0.00106984
6;user_screen_names;abierto;10000;0.00103268
7;user_screen_names;abierto;10000;0.000791019
8;user_screen_names;abierto;10000;0.000765431
9;user_screen_names;abierto;10000;0.000836555
10;user_screen_names;abierto;10000;0.000728347
11;user_screen_names;abierto;10000;0.000886205
12;user_screen_names;abierto;10000;0.000725704
13;user_screen_names;abierto;10000;0.000836465
14;user_screen_names;abierto;10000;0.000981551
15;user_screen_names;abierto;10000;0.000958516
16;user_screen_names;abierto;10000;0.000763531
17;user_screen_names;abierto;10000;0.000740269
18;user_screen_names;abierto;10000;0.000982946
19;user_screen_names;abierto;10000;0.000776098
20;user_screen_names;abierto;10000;0.0007365
1;user_ids;lineal;10000;0.112036
2;user_ids;lineal;10000;0.106777
3;user_ids;lineal;10000;0.106121
4;user_ids;lineal;10000;0.106463
5;user_ids;lineal;10000;0.106777
6;user_ids;lineal;10000;0.106429
7;user_ids;lineal;10000;0.106214
8;user_ids;lineal;10000;0.1068
9;user_ids;lineal;10000;0.106219
10;user_ids;lineal;10000;0.106619
11;user_ids;lineal;10000;0.107971
12;user_ids;lineal;10000;0.107094
13;user_ids;lineal;10000;0.105533
14;user_ids;lineal;10000;0.106284
15;user_ids;lineal;10000;0.106536
16;user_ids;lineal;10000;0.107861
17;user_ids;lineal;10000;0.106609
18;user_ids;lineal;10000;0.106763
19;user_ids;lineal;10000;0.108091
20;user_ids;lineal;10000;0.107316
1;user_screen_names;lineal;10000;0.000591562
2;user_screen_names;lineal;10000;0.000582689
3;user_screen_names;lineal;10000;0.000576727
4;user_screen_names;lineal;10000;0.000602163
5;user_screen_names;lineal;10000;0.000720596
6;user_screen_names;lineal;10000;0.000687769
7;user_screen_names;lineal;10000;0.000688485
8;user_screen_names;lineal;10000;0.000778511
9;user_screen_names;lineal;10000;0.000665573
10;user_screen_names;lineal;10000;0.000635457
11;user_screen_names;lineal;10000;0.000577632
12;user_screen_names;lineal;10000;0.00073548
13;user_screen_names;lineal;10000;0.000575117
14;user_screen_names;lineal;10000;0.000573628
15;user_screen_names;lineal;10000;0.00057639
16;user_screen_names;lineal;10000;0.000601368
17;user_screen_names;lineal;10000;0.000573945
18;user_screen_names;lineal;10000;0.000574919
19;user_screen_names;lineal;10000;0.000746886
20;user_screen_names;lineal;10000;0.000692767
1;user_ids;cuadratico;10000;0.12846
2;user_ids;cuadratico;10000;0.124685
3;user_ids;cuadratico;10000;0.124867
4;user_ids;cuadratico;10000;0.130065
5;user_ids;cuadratico;10000;0.123432
6;user_ids;cuadratico;10000;0.122286
7;user_ids;cuadratico;10000;0.121648
8;user_ids;cuadratico;10000;0.119352
9;user_ids;cuadratico;10000;0.12481
10;user_ids;cuadratico;10000;0.121437
11;user_ids;cuadratico;10000;0.119289
12;user_ids;cuadratico;10000;0.123027
13;user_ids;cuadratico;10000;0.122722
14;user_ids;cuadratico;10000;0.122995
15;user_ids;cuadratico;10000;0.123757
16;user_ids;cuadratico;10000;0.121882
17;user_ids;cuadratico;10000;0.123558
18;user_ids;cuadratico;10000;0.121797
19;user_ids;cuadratico;10000;0.120847
20;user_ids;cuadratico;10000;0.125581
1;user_screen_names;cuadratico;10000;0.000831729
2;user_screen_names;cuadratico;10000;0.000658786
3;user_screen_names;cuadratico;10000;0.000655721
4;user_screen_names;cuadratico;10000;0.00068254
5;user_screen_names;cuadratico;10000;0.00079138
6;user_screen_names;cuadratico;10000;0.000657323
7;user_screen_names;cuadratico;10000;0.000672346
8;user_screen_names;cuadratico;10000;0.000656606
9;user_screen_names;cuadratico;10000;0.000660977
10;user_screen_names;cuadratico;10000;0.000651848
11;user_screen_names;cuadratico;10000;0.000654108
12;user_screen_names;cuadratico;10000;0.000697333
13;user_screen_names;cuadratico;10000;0.000653809
14;user_screen_names;cuadratico;10000;0.000674138
15;user_screen_names;cuadratico;10000;0.000693869
16;user_screen_names;cuadratico;10000;0.000726701
17;user_screen_names;cuadratico;10000;0.000716646
18;user_screen_names;cuadratico;10000;0.0006559
19;user_screen_names;cuadratico;10000;0.000752694
20;user_screen_names;cuadratico;10000;0.000667806
1;user_ids;doble;10000;0.000660758
2;user_ids;doble;10000;0.000633062
3;user_ids;doble;10000;0.000836915
4;user_ids;doble;10000;0.000660738
5;user_ids;doble;10000;0.000779892
6;user_ids;doble;10000;0.000716925
7;user_ids;doble;10000;0.000790315
8;user_ids;doble;10000;0.000727607
9;user_ids;doble;10000;0.000667607
10;user_ids;doble;10000;0.000607009
11;user_ids;doble;10000;0.000580549
12;user_ids;doble;10000;0.000580658
13;user_ids;doble;10000;0.00058237
14;user_ids;doble;10000;0.000727956
15;user_ids;doble;10000;0.000683187
16;user_ids;doble;10000;0.000604491
17;user_ids;doble;10000;0.000671688
18;user_ids;doble;10000;0.000640618
19;user_ids;doble;10000;0.00058459
